KML2x Export:
Units: UTM(meters), Zone 10
Datum: WGS84

id XCoo YCoo Elevation
RDT_Reaches vertex: 32
288981.54464152345 5441936.811227419 0
289093.15019439533 5442279.848374281 0
290069.1394485142 5442241.687932079 0
290056.7059098609 5443199.614280624 0
289725.7736959002 5443321.594058154 0
289655.8516967584 5443591.262702237 0
288787.67282702576 5443935.377483113 0
288695.9352272968 5444419.992883771 0
288465.4579124723 5445000.524661764 0
287954.4334645105 5445075.303616014 0
287887.6176408937 5445375.047846686 0
288195.7397333909 5445894.763745642 0
287881.43056055746 5446340.186578861 0
287704.327879452 5446379.545235786 0
287380.3840494353 5446948.33095194 0
287356.5062352691 5447978.379912298 0
287660.07279917714 5448196.7142871795 0
287698.97391535295 5448389.569591712 0
287543.28711527894 5448533.846574905 0
287776.38083152374 5448749.161405712 0
288474.9714383202 5448705.2715845 0
289322.039610431 5448202.756917042 0
289461.87550229294 5446461.842328274 0
289295.4818224346 5446373.77752667 0
289384.2567916364 5446004.554669074 0
289577.9718047729 5446024.687624344 0
289701.19978191104 5445308.908676443 0
289735.8535174746 5444618.235418233 0
290091.9533010596 5444130.149635132 0
290503.4128644663 5444221.231716067 0
291062.1395141934 5443302.067850217 0
291382.70082736254 5443216.063449934 0
